Models,Architecture,Training dataset,Area,Luminance,Spatial Frequency,Spatial Frequency (RG),Spatial Frequency (YV),Spatial Frequency (noise),Phase-Coherent Masking,Phase-Incoherent Masking,Contrast Matching
No Encoder,,,-0.071,0.1821,0.1504,0.2931,0.6583,0.4751,0.5057,0.6782,0.2648
DINO,ResNet-50,ImageNet,0.961,0.5623,0.3428,0.2795,0.3359,0.2776,0.3716,0.911,0.5379
DINO,ViT-S/16,ImageNet,0.9686,0.4274,0.4769,0.5316,0.4517,0.5545,0.4556,0.8598,0.2763
DINO,ViT-S/8,ImageNet,0.9358,0.4044,0.4129,0.4211,0.4114,0.4687,0.3504,0.6359,0.3722
DINO,ViT-B/16,ImageNet,0.9584,0.4529,0.5281,0.6148,0.4699,0.6346,0.4246,0.6134,0.336
DINO,ViT-B/8,ImageNet,0.8929,0.3646,0.421,0.4456,0.4184,0.4964,0.4039,0.4567,0.3544
DINO,Xcit-S-12/16,ImageNet,0.9418,0.4444,0.5721,0.5312,0.4315,0.516,0.5431,0.6839,0.2812
DINO,Xcit-S-12/8,ImageNet,0.8409,0.4397,0.4337,0.3862,0.3064,0.4367,0.425,0.7375,0.4567
DINO,Xcit-M-24/16,ImageNet,0.9408,0.504,0.5424,0.4651,0.433,0.5079,0.4576,0.62,0.2845
DINO,Xcit-M-24/8,ImageNet,0.8149,0.5223,0.4852,0.3742,0.403,0.4281,0.5034,0.7775,0.389
DINOv2,ViT-S/14,LVD-142M,0.7071,0.4861,0.3976,0.4114,0.5207,0.5545,0.8288,0.9519,0.3424
DINOv2,ViT-B/14,LVD-142M,0.9216,0.558,0.4286,0.4898,0.7148,0.6034,0.8955,0.8222,0.3354
DINOv2,ViT-L/14,LVD-142M,0.9493,0.5363,0.5256,0.5152,0.4934,0.5886,0.7902,0.7978,0.3334
DINOv2,ViT-g/14,LVD-142M,0.7856,0.4935,0.4304,0.5277,0.6687,0.5892,0.853,0.8564,0.3003
